Cycle 3,Sample School,Sample School,Sample School,Sample School,Sample School
Date,Grade,Class,Diner,Quantity,Meal
28-Oct-24,Primary,01Sample,14bb5286,5,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,01Sample,ccb46d2c,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,01Sample,a5eaae3d,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,01Sample,143b4fe3,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,01Sample,b9b133c8,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Grade 1,01Sample,d22e9850,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Grade 1,01Sample,71ca8472,1,Macaroni and Cheese with Vegetables
28-Oct-24,Grade 1,01Sample,2b48c396,1,Macaroni and Cheese with Vegetables
29-Oct-24,Primary,01Sample,a5eaae3d,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Primary,01Sample,b9b133c8,1,Soft Chicken Taco with Cheese and Vegetables
29-Oct-24,Grade 1,01Sample,2b48c396,1,Soft Chicken Taco with Cheese and Vegetables
30-Oct-24,Primary,01Sample,a5eaae3d,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Primary,01Sample,b9b133c8,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Grade 1,01Sample,d22e9850,1,Baked Potato with Beef Chilli and Vegetables
30-Oct-24,Grade 1,01Sample,2b48c396,1,Baked Potato with Bean Chili Toppings and Vegetables
31-Oct-24,Primary,01Sample,14bb5286,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,01Sample,a5eaae3d,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,01Sample,e95ea616,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Primary,01Sample,143b4fe3,1,Omelet English Muffin with Fruit
31-Oct-24,Primary,01Sample,b9b133c8,1,Omelet English Muffin with Fruit
31-Oct-24,Grade 1,01Sample,71ca8472,1,Maple Apple French Toast Bake with Apples and Blueberries
31-Oct-24,Grade 1,01Sample,2b48c396,1,Maple Apple French Toast Bake with Apples and Blueberries
01-Nov-24,Primary,01Sample,14bb5286,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,01Sample,bdb83417,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,01Sample,a5eaae3d,1,Mini Veggie Pizza with Vegetables and Fruit
01-Nov-24,Primary,01Sample,e95ea616,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,01Sample,143b4fe3,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Primary,01Sample,b9b133c8,1,Mini Veggie Pizza with Vegetables and Fruit
01-Nov-24,Grade 1,01Sample,d22e9850,1,Mini Veggie Pizza with Vegetables and Fruit
01-Nov-24,Grade 1,01Sample,71ca8472,1,Mini Cheese Pizza with Vegetables
01-Nov-24,Grade 1,01Sample,2b48c396,1,Mini Cheese Pizza with Vegetables
04-Nov-24,Primary,01Sample,14bb5286,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,01Sample,ccb46d2c,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,01Sample,a5eaae3d,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,01Sample,e95ea616,1,Pasta with Tomato Lentil Sauce
04-Nov-24,Primary,01Sample,143b4fe3,1,Pasta with Tomato Beef Sauce
04-Nov-24,Primary,01Sample,b9b133c8,1,Pasta with Tomato Beef Sauce
04-Nov-24,Grade 1,01Sample,d22e9850,1,Pasta with Tomato Beef Sauce
04-Nov-24,Grade 1,01Sample,71ca8472,1,Pasta with Tomato Beef Sauce
04-Nov-24,Grade 1,01Sample,2b48c396,1,Pasta with Tomato Beef Sauce
05-Nov-24,Primary,01Sample,a5eaae3d,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,01Sample,143b4fe3,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Primary,01Sample,b9b133c8,1,Indian Murgh Makhani (Butter Chicken Curry) with Rice
05-Nov-24,Grade 1,01Sample,2b48c396,1,Chickpea Curry with Rice and Vegetables
06-Nov-24,Primary,01Sample,a5eaae3d,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,01Sample,e95ea616,1,Cheesy Bean Burrito in Tortilla with Vegetables
06-Nov-24,Primary,01Sample,143b4fe3,1,Black Bean Burrito Bowl
06-Nov-24,Primary,01Sample,b9b133c8,1,Black Bean Burrito Bowl
06-Nov-24,Grade 1,01Sample,d22e9850,1,Black Bean Burrito Bowl
06-Nov-24,Grade 1,01Sample,71ca8472,1,Black Bean Burrito Bowl
06-Nov-24,Grade 1,01Sample,2b48c396,1,Black Bean Burrito Bowl
07-Nov-24,Primary,01Sample,14bb5286,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,01Sample,ccb46d2c,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,01Sample,a5eaae3d,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,01Sample,e95ea616,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,01Sample,143b4fe3,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Primary,01Sample,b9b133c8,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
07-Nov-24,Grade 1,01Sample,2b48c396,1,Chicken and Vegetable Stew with Mi’kmaw L’uskinikn (Biscuit)
08-Nov-24,Primary,01Sample,a5eaae3d,1,Chicken Ranch Wrap
08-Nov-24,Primary,01Sample,e95ea616,1,Chicken Ranch Wrap
08-Nov-24,Primary,01Sample,b9b133c8,1,Chicken Ranch Wrap
08-Nov-24,Grade 1,01Sample,d22e9850,1,Chicken Ranch Wrap
08-Nov-24,Grade 1,01Sample,2b48c396,1,Hummus (Chickpea Dip) Vegetable Wrap
28-Oct-24,Primary,0Sample,75d1ad73,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,d1add022,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,1798eeda,1,Macaroni and Cheese with Beef and Vegetables
28-Oct-24,Primary,0Sample,78d4606d,1,Macaroni and Cheese with Vegetables
28-Oct-24,Primary,0Sample,a1d725b9,1,Macaroni and Cheese with Beef and Vegetables
